source,target,rho,abs_rho,sign,source_community,target_community,source_label,target_label
P9_2,P9_3,0.5071007504127877,0.5071007504127877,1,1,1,P9_2 Lee las noticias científicas que se publican en los diarios,P9_3 Escucha programas o secciones de radio que tratan sobre temas de ciencia y tecnología
P37_6,P37_13,0.5070535073508678,0.5070535073508678,1,2,2,P37_6 Nivel de acuerdo con que la IA Será una buena compañía para nuestra vida cotidiana,P37_13 Nivel de acuerdo con que la IA Nos ayudará a cuidar mejor nuestra salud
P6_4,P3_5,0.5059010607894282,0.5059010607894282,1,5,5,P6_4 Nivel de interés en Religión,P3_5 Aprecio por la profesión de Religioso
P24_1,P24_3,0.5037301065244398,0.5037301065244398,1,6,6,"P24_1 Como considera que son las condiciones de Infraestructuras (edificios, laboratorios, etc.)",P24_3 Como considera que son las condiciones de Salarios
P9_2,P9_4,0.5029188690125461,0.5029188690125461,1,1,1,P9_2 Lee las noticias científicas que se publican en los diarios,P9_4 Lee revistas de divulgación científica
P26_9,P30_1,0.5028972694489847,0.5028972694489847,1,2,2,P26_9 La ciencia y la tecnología están haciendo que nuestras vidas sean más fáciles y cómodas.,P30_1 Gracias a la ciencia y la tecnología nuestros hijos van a tener más oportunidades.
P24_3,P24_4,0.5022130654940994,0.5022130654940994,1,6,6,P24_3 Como considera que son las condiciones de Salarios,P24_4 Como considera que son las condiciones de para conseguir trabajo en una universidad o instituto público de investi...
P6_7,P6_9,0.5009694408222126,0.5009694408222126,1,1,1,P6_7 Nivel de interés en Arte y cultura,P6_9 Nivel de interés en Medioambiente y ecología
P1_1,P1_4,0.49920226081281366,0.49920226081281366,1,8,8,P1_1 Nivel de satisfacción con la situación social del país,P1_4 Nivel de satisfacción con la calidad de la democracia
P37_9,P37_12,0.4990551041845903,0.4990551041845903,1,4,4,P37_9 Nivel de acuerdo con que la IA Aumentará el dominio de las máquinas sobre las personas,P37_12 Nivel de acuerdo con que la IA Creará muchos más problemas que soluciones
P9_1,P9_6,0.49875967935644716,0.49875967935644716,1,1,1,"P9_1 Mira programas o documentales de TV sobre ciencia, tecnología o naturaleza",P9_6 Usa Internet para buscar información científica
P6_9,P7_9,0.4973713666328447,0.4973713666328447,1,1,1,P6_9 Nivel de interés en Medioambiente y ecología,P7_9 Nivel de información en Medioambiente y ecología
P37_10,P37_15,0.4973181994038429,0.4973181994038429,1,2,2,P37_10 Nivel de acuerdo con que la IA Mejora la evolución de la sociedad,P37_15 Nivel de acuerdo con que la IA Nos ayuda a tomar mejores decisiones
P30_3,P30_6,0.49674906211363157,0.49674906211363157,1,2,2,P30_3 La ciencia y la tecnología eliminarán la pobreza y el hambre en el mundo.,P30_6 Gracias a la ciencia y la tecnología los recursos del planeta no se extinguirán nunca.
P6_3,P6_9,0.4963480006977311,0.4963480006977311,1,1,1,P6_3 Nivel de interés en Economía,P6_9 Nivel de interés en Medioambiente y ecología
P1_1,P1_2,0.4957111733784237,0.4957111733784237,1,8,8,P1_1 Nivel de satisfacción con la situación social del país,P1_2 Nivel de satisfacción con la situación económica del país
P37_14,P37_16,0.493203422963608,0.493203422963608,1,4,4,P37_14 Nivel de acuerdo con que la IA Creará divisiones sociales,P37_16 Nivel de acuerdo con que la IA Controlará nuestra vida privada
P30_7,P30_8,0.49108078570203423,0.49108078570203423,1,2,2,P30_7 La ciencia y la tecnología contribuyen a mejorar el medio ambiente.,P30_8 La ciencia y la tecnología pueden resolver cualquier tipo de problemas.
P30_3,P30_8,0.49094783837020145,0.49094783837020145,1,2,2,P30_3 La ciencia y la tecnología eliminarán la pobreza y el hambre en el mundo.,P30_8 La ciencia y la tecnología pueden resolver cualquier tipo de problemas.
P7_7,P7_9,0.49065790048305313,0.49065790048305313,1,1,1,P7_7 Nivel de información en Arte y cultura,P7_9 Nivel de información en Medioambiente y ecología
