,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.
P42,0.00026116698336515744,0.000546960778596934,0.4774875888452259,0.6330149565794999,-0.0008108564436408196,0.0013331904103711346
idx_capital_informativo,-0.043628855004236064,0.026320364766357702,-1.6576082965233756,0.09739655400146782,-0.09521582200625416,0.007958111997782027
idx_participacion_cultural_cientifica,0.0012627048625018851,0.01846999090129234,0.06836521302311709,0.9454949130034176,-0.034937812098813595,0.037463221823817366
idx_confianza_valoracion_cientificos,0.15823278714205435,0.01794324697523691,8.81851469583114,1.1598798424099222e-18,0.12306466930488275,0.19340090497922596
idx_institucionalidad_cti,0.010264460779899657,0.016353926134539464,0.6276450496019504,0.5302364901930539,-0.02178864544962604,0.04231756700942535
idx_optimismo_tecnocientifico,0.14098686378621528,0.02196349996495091,6.419143761750196,1.3704294680587992e-10,0.09793919488046476,0.1840345326919658
idx_actitudes_ia_riesgos_beneficios,-0.03424099269824082,0.020471300350342333,-1.672633985738391,0.0943993721459324,-0.07436400410161398,0.005882018705132344
idx_percepcion_capacidades_nacionales,-0.02569638327744428,0.015599432905051927,-1.6472639379808751,0.09950380679380162,-0.056270709950595084,0.004877943395706526
idx_contexto_pais,0.010863926267409488,0.013377751517542925,0.8120891057935311,0.4167405038750792,-0.015355984901100699,0.03708383743591968
P41_Varón,-0.013991123030640243,0.01626424287909512,-0.8602382007356406,0.38965775101456523,-0.04586845330947872,0.017886207248198234
p43_grupo_educación media,-0.03767178919739646,0.023174119584263173,-1.62559742821808,0.10403532267438674,-0.08309222895597661,0.0077486505611836926
p43_grupo_educación superior,0.014316612487602128,0.0257799646218302,0.5553387173960267,0.5786630010295449,-0.036211189693901816,0.06484441466910608
mod0_5_B,-0.03427389010087458,0.026651318994106152,-1.2860110266382738,0.19843921343270454,-0.0865095154698109,0.01796173526806174
mod0_5_C,-0.030532853166067207,0.026639796538901694,-1.1461368753879386,0.251738521817929,-0.0827458949377893,0.021680188605654897
mod0_5_D,-0.016002321227360648,0.03153907202440569,-0.5073808517567565,0.6118876184777349,-0.07781776650101056,0.045813124046289275
mod0_5_E,-0.026353741552016786,0.03727532616271513,-0.7070023059483588,0.4795650447791886,-0.09941203834292206,0.04670455523888848
mod0_1_dep_Cajamarca,0.20795372560148326,0.07223284137497389,2.8789359748698993,0.003990193322672259,0.06637995800553975,0.34952749319742676
mod0_1_dep_Callao,-0.10312382547991701,0.040023728715191484,-2.5765671712834473,0.009978681511880748,-0.18156889228869388,-0.02467875867114014
mod0_1_dep_Cusco,0.19129432696076898,0.060421550007653056,3.1659950288686645,0.0015455343495156667,0.07287026505568316,0.3097183888658548
mod0_1_dep_Ica,0.1296888277320362,0.05140360828358765,2.522951832808277,0.011637434000456307,0.028939606820799615,0.23043804864327277
mod0_1_dep_Junín,0.0536716792540733,0.05175124844021892,1.0371088789495153,0.29968511767295525,-0.04775890384374042,0.155102262351887
mod0_1_dep_La Libertad,0.07307843016925057,0.0432484087390431,1.6897368550644039,0.09107830904129678,-0.011686893347941235,0.15784375368644238
mod0_1_dep_Lambayeque,0.09715903636144009,0.05090087892613446,1.9087889720417957,0.05628932005697409,-0.0026048531152172705,0.19692292583809745
mod0_1_dep_Lima,0.012576665230403967,0.030753828411557688,0.4089463289610309,0.6825790488121102,-0.047699730842973756,0.07285306130378169
mod0_1_dep_Loreto,0.00359187501950123,0.05668543464084627,0.06336504328244146,0.9494758227096255,-0.10750953532455663,0.11469328536355909
mod0_1_dep_Piura,-0.12054555177681557,0.04112222994158659,-2.9313962775863183,0.003374420294623131,-0.20114364142629992,-0.039947462127331204
mod0_1_dep_Puno,0.12081843699852371,0.06863070430628164,1.7604137713543095,0.07833767605624221,-0.013695271675406295,0.2553321456724537
mod0_1_dep_Áncash,0.0942777549395484,0.056701389249597126,1.6627062614734482,0.09637124822744392,-0.01685492586304857,0.20541043574214538
