modelo,AIC,LogLik,Df_model,N,delta_AIC_vs_base
M1_base_sociodemografico,3370.4537377658353,-1664.2268688829176,20,2797,0.0
M2_indices_teoricos,3208.001814846635,-1575.0009074233176,28,2797,-162.45192291920011
M3_indices_red,3265.235291849325,-1603.6176459246626,28,2797,-105.21844591651006
M4_teoricos_y_red,3179.3196455711313,-1552.6598227855657,36,2797,-191.13409219470395
