,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.
P42,0.00029991796803002286,0.0005429905552525433,0.5523447233636171,0.580712194641247,-0.0007643239642103681,0.001364159900270414
red_com_01,0.09505717139204735,0.02025453642828934,4.693129942943636,2.690564671937054e-06,0.0553590094690457,0.134755333315049
red_com_02,0.10968845996118784,0.013712886883640151,7.998932747855535,1.2550223757844989e-15,0.08281169554518145,0.13656522437719423
red_com_03,-0.0321750540274029,0.015835466629043938,-2.031834917222484,0.04217037102822597,-0.06321199829871492,-0.001138109756090886
red_com_04,-0.020242078792585525,0.013848809266410349,-1.4616475975073004,0.1438378040253509,-0.047385246183514376,0.006901088598343326
red_com_05,-0.030813625681379186,0.017811938599892094,-1.7299422804862947,0.08364058821324737,-0.06572438383200649,0.004097132469248116
red_com_06,0.04548062318989662,0.016132068422427384,2.819267932602357,0.004813332198098014,0.013862350085803055,0.07709889629399018
red_com_07,0.0027805690689280765,0.015350865649874475,0.18113434983719068,0.8562621232511727,-0.02730657473633895,0.0328677128741951
red_com_08,-0.005941483312562188,0.012153854160534586,-0.48885589987208244,0.6249437191899312,-0.02976259974056227,0.01787963311543789
P41_Varón,-0.015335272867777201,0.01655955929655797,-0.9260676925722747,0.35441080243003376,-0.04779141268888626,0.017120866953331856
p43_grupo_educación media,-0.03153591262625047,0.023338526094118503,-1.351238398649252,0.17661907785733955,-0.07727858322297099,0.014206757970470059
p43_grupo_educación superior,0.02659092061154016,0.026029192880228966,1.0215806818865238,0.30697940470708873,-0.02442535998035501,0.07760720120343532
mod0_5_B,-0.039966443053154735,0.02686527923613281,-1.48766155385429,0.1368401714831079,-0.09262142279058677,0.012688536684277309
mod0_5_C,-0.03356295418856949,0.026960107626151013,-1.2449117286169062,0.21316419915206808,-0.08640379415514912,0.019277885778010144
mod0_5_D,-0.022480185488481533,0.031785279544882555,-0.7072514638966217,0.47941022194528604,-0.08477818863498902,0.03981781765802596
mod0_5_E,-0.04124961321579281,0.03784632088565962,-1.0899239939442236,0.2757466262350763,-0.11542703909903171,0.03292781266744608
mod0_1_dep_Cajamarca,0.24380841810136542,0.07631529408716874,3.1947517338121365,0.0013995117375405783,0.09423319022093216,0.39338364598179865
mod0_1_dep_Callao,-0.10925964966309454,0.039620056598601176,-2.757685350377618,0.0058212200917595975,-0.18691353366179136,-0.03160576566439771
mod0_1_dep_Cusco,0.19103448708035056,0.06063322316117281,3.1506569685822297,0.0016290369422971849,0.07219555341787201,0.3098734207428291
mod0_1_dep_Ica,0.1435916156839131,0.05322037551692303,2.698057168691976,0.006974546207226831,0.03928159642704669,0.2479016349407795
mod0_1_dep_Junín,0.05000963201052966,0.05259372733175483,0.9508668532860389,0.3416719701297536,-0.05307217937242968,0.153091443393489
mod0_1_dep_La Libertad,0.062023851985721926,0.044207092684749726,1.4030294285133686,0.16060806358682334,-0.02462045753761162,0.14866816150905549
mod0_1_dep_Lambayeque,0.09930636690073406,0.05101312873378897,1.9466825377240127,0.05157280640737184,-0.0006775281561976904,0.1992902619576658
mod0_1_dep_Lima,0.002215725339827255,0.031635054784634256,0.0700401929097804,0.9441616688554229,-0.0597878426870074,0.06421929336666192
mod0_1_dep_Loreto,0.015550766452969147,0.05879771276863842,0.26447910506586286,0.7914107635018499,-0.09969063294689302,0.13079216585283132
mod0_1_dep_Piura,-0.10454261408226682,0.04192504407487886,-2.4935600281195147,0.012646919777751776,-0.18671419051928378,-0.022371037645249864
mod0_1_dep_Puno,0.11342386783828344,0.06701039033663014,1.692631057191173,0.09052571564732345,-0.017914083811482504,0.24476181948804937
mod0_1_dep_Áncash,0.10469851967964912,0.057675384030007104,1.8153068495422071,0.06947676697285143,-0.008343155813681405,0.21774019517297966
