y_apoya_aumento,w_norm,P41,P42,p43_grupo,mod0_5,mod0_1_dep,idx_capital_informativo,idx_participacion_cultural_cientifica,idx_confianza_valoracion_cientificos,idx_institucionalidad_cti,idx_optimismo_tecnocientifico,idx_actitudes_ia_riesgos_beneficios,idx_percepcion_capacidades_nacionales,idx_contexto_pais,perfil
0.0,0.9112271755379048,Mujer,64,educación media,C,Piura,-0.5858938542730951,-0.6649989304402689,-0.33881602462806765,-0.1057762550875643,-0.38771607171323624,0.011878760304719772,-0.9408737070094023,0.23210468780225008,1
0.0,0.6057317449894515,Varón,53,educación media,C,Áncash,0.34774731186926344,-0.14603560991544867,-0.5809784275367034,0.797314413230141,0.9806166961481478,0.01813587330773231,0.372758324063623,0.9056141199698985,3
1.0,0.2962410787985078,Varón,40,educación media,B,Cajamarca,-0.12434777248048637,-0.017950670846772585,0.3240320279177619,0.3975246660221605,0.05388496601113853,0.14205396796624387,0.13839802739880486,0.25887338126762965,3
0.0,0.6094400561917035,Varón,84,educación básica,B,Arequipa,-0.29192154270344445,-0.4471993523904339,-0.7474219920584726,-0.4065553580842306,-1.2308195107143798,-0.14829065152791976,-0.008917520922908269,-0.6925545667221016,1
0.0,0.2962410787985078,Mujer,51,educación básica,D,Cajamarca,-0.1842632830110452,-0.46298457344925026,-0.42801985162948863,-0.7302991962449065,0.01408963068556417,-0.21352168439599367,0.5101201285018832,-0.6526786470016754,1
0.0,0.2962410787985078,Mujer,67,educación media,C,Cajamarca,-0.7119804048487751,-1.0731835317247342,-0.5400384360502741,-0.38265733579355793,-0.24914336768919151,-0.14141444942871498,0.35379377019769087,-0.9894333630854995,1
1.0,0.9112271755379048,Mujer,27,educación media,D,Piura,-0.2801947305127172,-0.005618261499534736,0.432406477471162,-0.23685873639012453,-0.13022863269166451,0.2176803373178943,-0.722202547449656,0.2719806075226763,1
1.0,0.6057317449894515,Mujer,28,educación media,A,Áncash,-0.9203227353348827,-1.4773389864788022,-0.1959276546336252,-0.17003389516240844,-0.6474644063981804,-0.5049880174164222,-0.7088163023562724,0.5688594038860743,1
1.0,1.133040413563988,Varón,42,educación media,B,La Libertad,0.24351524202769267,-0.30262876974470554,-0.21855723296497861,-0.37726907767171497,-0.5791923703918765,-0.35780043095466135,0.06561069768027049,0.23210468780225008,1
1.0,0.4427814456412548,Varón,38,educación superior,C,Junín,-0.21765386555632163,-0.14733108176085086,-0.05927589744528942,-0.07014667705480702,-0.36420110094031855,-0.7694452227031079,0.5892270891494296,0.5688594038860743,1
1.0,0.4427814456412548,Varón,80,educación media,C,Junín,-0.7167096505780286,-0.32018127341043634,0.7897230928698636,0.07948669402184488,-0.13562136257285196,-1.0526438810351566,-0.6246728029813992,0.5688594038860743,1
1.0,0.6502640380854083,Mujer,69,educación media,A,Ica,0.7344486577557253,1.6091666778865377,0.9660666209513554,0.2864844791178943,0.29405048796265837,-0.11189315284493388,-0.030770435403859753,0.8746630773138488,2
0.0,1.9475912539255735,Varón,25,educación superior,C,Lima,-0.028602079525476047,-0.1321502761229532,0.6147832169836087,-0.3835789717180569,-0.10712472513301138,0.7189298278785344,-0.3172965691390813,-0.37476013117959245,3
1.0,1.9475912539255735,Mujer,36,educación básica,D,Lima,2.3480111366011207,2.5165711432112587,1.7166310263648228,2.4596226320389665,-0.806430073753927,-1.4256419630367159,1.4316508486598192,3.3486902217453975,2
0.0,1.9475912539255735,Mujer,42,educación básica,C,Lima,1.6605379213665772,1.926046229206664,1.180024165393065,1.1698980896807631,-0.34733068636191433,-0.4977841753482479,1.4316508486598192,3.3486902217453975,2
0.0,0.4427814456412548,Varón,28,educación media,C,Junín,-0.22620935003279882,-1.049178227418656,-0.7386169233264019,0.8058532045139606,-0.6352022195510143,-0.7317036271643346,-0.722202547449656,0.8568133231850954,1
1.0,0.4427814456412548,Mujer,28,educación media,B,Junín,0.24428009203855003,0.7205542230679982,0.6176330129216351,-0.5515626166064613,1.0034278374368335,1.1103160776265382,0.4450805185506561,-0.04999617721050285,3
1.0,1.9475912539255735,Varón,30,educación superior,E,Lima,-0.14144208846187742,0.28570247203743027,-0.19771472651575764,0.23765996207334275,0.25070032254363117,0.33681075558191337,-0.31887132786206196,-0.9894333630854995,3
1.0,0.2962410787985078,Mujer,52,educación media,C,Cajamarca,-0.0185192457284183,-0.4430461181606195,0.011926302034202252,0.13094053108969175,-0.10184240483829399,-0.16572095047502539,-0.10440224292599871,-0.9894333630854995,1
1.0,0.8879381264826121,Varón,35,educación media,C,Lambayeque,-0.3037806124466086,-0.752095587556185,0.567117079527483,-0.1440965829545106,0.6228170350630358,0.31803664960650907,0.2007879110771608,-0.35579985063827746,3
0.0,1.9475912539255735,Varón,23,educación media,C,Lima,0.02493208514629593,-0.14603560991544867,-0.3061456434253352,1.1071125521825114,-0.148559290320431,-0.42730518756783464,0.2948934352349911,0.26305573045829955,3
1.0,0.2962410787985078,Mujer,63,educación básica,C,Cajamarca,0.16617872223396085,-0.021338159740820675,-0.12723925653972265,0.5591783056180836,-0.02858196637524931,-0.04459544692707823,0.7404243648986673,0.5688594038860743,3
1.0,1.133040413563988,Mujer,31,educación media,C,La Libertad,-0.27630064961354306,-0.30262876974470554,0.004862730931876154,-0.35689635586381857,0.6345783499952101,1.2217742491546888,0.66578436728849,0.5688594038860743,3
1.0,1.133040413563988,Mujer,39,educación media,C,La Libertad,-0.6809306404461518,-0.8868140724742076,-0.4132439020367338,-0.007563545987376713,0.39307543972179226,-0.004163567603274881,-1.4717344829985557,-0.07369898562552454,1
1.0,1.133040413563988,Mujer,51,educación superior,C,La Libertad,-0.6651148260586184,-0.8969458511811007,-0.11414270747896481,-0.4556428443478171,-0.08415180294408085,0.124365957720856,-0.763176403936217,-0.9894333630854995,1
1.0,1.133040413563988,Mujer,59,educación básica,C,La Libertad,-0.12146227195922449,0.12340135992059663,0.01009688193714911,0.26842297762288947,0.5428806017165603,0.2931543519249102,0.40822884831600476,-0.21637276876844944,3
1.0,0.6057317449894515,Varón,31,educación básica,B,Áncash,0.17037651072625556,-0.4289918473524351,-0.433113575908123,-0.3913978487307429,-0.7078558537610805,-0.8446982753615897,-0.6322086096047727,0.5409742462803824,1
1.0,0.636102444228568,Mujer,53,educación superior,B,Cusco,-0.045123904908015745,0.3048591347827233,-0.0944676493546223,-0.3472616556453841,0.34571638451637393,-0.10619722316374763,-0.09232461839145104,-0.6526786470016754,3
1.0,1.9475912539255735,Mujer,24,educación superior,B,Lima,0.3727974089614982,-0.1298507097124203,-0.2948566904433575,0.15111131712511533,-0.5397499113982065,-0.40519876683509815,-0.6807442381896435,-0.9894333630854995,1
1.0,0.4427814456412548,Mujer,18,educación básica,D,Junín,0.7057195250831755,0.5795685785011155,-0.30608917606915764,0.09512732260994035,-0.6491444619754266,0.5526960808368155,-0.4179152936088619,-0.6526786470016754,3
1.0,1.9475912539255735,Mujer,50,educación media,E,Lima,-0.009614430768602704,-0.14603560991544867,-0.020685368347692825,1.2819542745293142,0.12118891859254174,-0.013271084237852948,0.5994868736574187,-0.34687497357390085,3
1.0,0.2962410787985078,Varón,21,educación media,D,Cajamarca,0.74049148924019,0.5793931099897238,0.9286771279887495,1.0518498080237946,1.0608210512219005,-0.44863774489440456,0.4503043316094185,-0.03800541509576836,2
1.0,1.9475912539255735,Mujer,27,educación superior,A,Lima,0.6424114184261187,0.7093244217005007,0.45951990288776184,0.14466998505392845,-0.32710275385420007,-0.1904995639658978,0.7519207229454575,0.23210468780225008,2
0.0,0.40039962442126337,Varón,30,educación media,A,Loreto,1.0959243802733964,1.034364381526854,0.6335434353625914,0.7914870360416755,-0.5912182216596324,-0.43502088942229244,0.1987577357798721,1.7903974547738237,2
1.0,0.8879381264826121,Varón,19,educación media,C,Lambayeque,0.7287244710022567,0.29377123995065013,1.105627574096857,-0.20245727611546555,0.6248864343107912,0.07219279710369074,1.0458058615533592,0.5688594038860743,2
1.0,0.4427814456412548,Varón,31,educación superior,C,Junín,0.37125096568271637,-0.14603560991544867,0.6657035684240739,-0.3835789717180569,-0.3382555065153224,-0.20865239559955445,0.13404421965767205,0.25887338126762965,3
